MatchID,DateOfMatch,Opponent,Venue
1,28/04/1888,1021,Caledonian Ground
2,02/05/1888,1021,Caledonian Ground
3,05/05/1888,1022,Lancaster Park
4,09/05/1888,1022,Lancaster Park
5,12/05/1888,1023,Basin Reserve
6,14/05/1888,1024,Basin Reserve
7,16/05/1888,1025,The Racecourse
8,19/05/1888,1026,Tramway Company Ground
9,24/05/1888,1026,Tramway Company Ground
10,02/06/1888,1027,Association Cricket Ground
11,07/06/1888,1028,Cricket Ground
12,09/06/1888,1027,Association Cricket Ground
13,11/06/1888,1029,Association Cricket Ground
14,12/06/1888,1030,Parramatta Cricket Ground
15,16/07/1888,1031,Adelaide Oval
16,01/08/1888,1032,East Melbourne Cricket Ground
17,04/08/1888,1027,Association Cricket Ground
18,06/08/1888,1033,Association Cricket Ground
19,08/08/1888,1028,Cricket Ground
20,11/08/1888,1034,Agricultural Society Ground
21,18/08/1888,1035,Exhibition Grounds
22,21/08/1888,1036,Exhibition Grounds
23,23/08/1888,1037,North Ipswich Reserve
24,25/08/1888,1035,Exhibition Grounds
25,29/08/1888,1038,Newcastle Cricket Ground
26,08/09/1888,1026,Tramway Company Ground
27,12/09/1888,1026,Tramway Company Ground
28,15/09/1888,1039,Recreation Ground
29,17/09/1888,1040,Memorial Park
30,20/09/1888,1022,Lancaster Park
31,22/09/1888,1021,Caledonian Ground
32,26/09/1888,1041,Caledonian Ground
33,29/09/1888,1041,Lancaster Park
34,02/10/1888,1025,Hawera Racecourse
35,03/10/1888,1042,Victoria Park
36,09/07/1891,1043,Newlands
37,11/07/1891,1044,Newlands
38,13/07/1891,1045,Newlands
39,18/07/1891,1046,Kimberley
40,20/07/1891,1047,Kimberley
41,25/07/1891,1048,Port Elizabeth
42,28/07/1891,1049,Crusaders Ground
43,30/07/1891,1008,Crusaders Ground
44,01/08/1891,1050,Grahamstown
45,04/08/1891,1051,King Williams Town
46,06/08/1891,1052,King Williams Town
47,11/08/1891,1053,Pietermaritzburg
48,15/08/1891,1054,Johannesburg
49,19/08/1891,1055,Johannesburg
50,22/08/1891,1056,Johannesburg
51,26/08/1891,1045,Kimberley
52,29/08/1891,1008,Kimberley
53,03/09/1891,1045,Newlands
54,05/09/1891,1008,Newlands
55,09/09/1891,1057,Stellenbosch
56,11/07/1896,1058,Newlands
57,13/07/1896,1059,Newlands
58,15/07/1896,1044,Newlands
59,18/07/1896,1047,Kimberley
60,22/07/1896,1047,Kimberley
61,25/07/1896,1048,Port Elizabeth
62,28/07/1896,1049,Port Elizabeth
63,30/07/1896,1008,Crusaders Ground
64,01/08/1896,1050,Grahamstown
65,04/08/1896,1051,King Williams Town
66,06/08/1896,1060,East London
67,08/08/1896,1061,Queenstown
68,12/08/1896,1062,Johannesburg
69,15/08/1896,1056,Johannesburg
70,17/08/1896,1063,Johannesburg
71,19/08/1896,1056,Johannesburg
72,22/08/1896,1008,Wanderers Ground
73,26/08/1896,1045,Kimberley
74,29/08/1896,1008,Kimberley
75,03/09/1896,1044,Newlands
76,05/09/1896,1008,Newlands
77,14/06/1899,1064,The Showgrounds
78,17/06/1899,1027,Sydney Cricket Ground
79,20/06/1899,#N/A,Sydney Agricultural Ground
80,24/06/1899,1002,Sydney Cricket Ground
81,28/06/1899,1065,Royal Society Ground
82,01/07/1899,1035,Exhibition Grounds
83,05/07/1899,1066,Bundaberg Cricket Reserve
84,08/07/1899,1067,Central Queensland Ground
85,11/07/1899,1068,Mount Morgan
86,15/07/1899,1067,Central Queensland Ground
87,19/07/1899,1069,Maryborough Showground
