DateOfMatch,Attendance,MatchesID,AttendanceID
24/08/1997,3000,2531,5433
30/08/1997,5000,2532,5434
18/10/1997,4000,2533,5435
25/10/1997,6810,2534,5436
02/11/1997,4105,2535,5437
09/11/1997,2500,2536,5438
13/12/1997,10695,2537,5439
27/12/1997,4500,2538,5440
30/12/1997,3500,2539,5441
10/01/1998,5929,2540,5442
01/02/1998,3500,2541,5443
15/02/1998,2017,2542,5444
24/02/1998,3722,2543,5445
10/03/1998,2638,2544,5446
14/03/1998,4000,2545,5447
11/04/1998,4000,2546,5448
15/04/1998,1547,2547,5449
18/04/1998,3800,2548,5450
25/04/1998,6500,2549,5451
02/05/1998,6319,2550,5452
10/05/1998,3000,2551,5453
17/05/1998,4000,2552,5454
05/09/1998,1300,2553,5455
12/09/1998,2100,2554,5456
20/09/1998,5597,2555,5457
26/09/1998,3200,2556,5458
03/10/1998,6464,2557,5459
17/10/1998,9861,2558,5460
24/10/1998,6800,2559,5461
28/10/1998,2500,2560,5462
07/11/1998,2300,2561,5463
13/11/1998,2388,2562,5464
22/11/1998,3865,2563,5465
12/12/1998,3200,2564,5466
20/12/1998,3020,2565,5467
27/12/1998,5100,2566,5468
02/01/1999,4300,2567,5469
05/01/1999,3500,2568,5470
09/01/1999,3000,2569,5471
23/01/1999,3500,2570,5472
06/02/1999,2200,2571,5473
14/02/1999,4695,2572,5474
27/02/1999,3139,2573,5475
13/03/1999,3570,2574,5476
28/03/1999,1531,2575,5477
03/04/1999,3515,2576,5478
24/04/1999,4800,2577,5479
01/05/1999,4528,2578,5480
08/05/1999,4495,2579,5481
11/09/1999,2210,NULL,5487
25/09/1999,8721,NULL,5488
02/10/1999,2800,NULL,5489
10/10/1999,2322,NULL,5490
17/10/1999,2900,NULL,5491
29/10/1999,2800,NULL,5492
05/11/1999,4725,NULL,5493
13/11/1999,2588,NULL,5494
04/12/1999,3716,NULL,5495
26/12/1999,2800,NULL,5496
29/12/1999,2359,NULL,5497
23/01/2000,2900,NULL,5498
12/02/2000,3079,NULL,5499
08/03/2000,2656,NULL,5500
12/03/2000,6112,NULL,5501
25/03/2000,7460,NULL,5502
08/04/2000,2398,NULL,5503
15/04/2000,5300,NULL,5504
22/04/2000,3443,NULL,5505
30/04/2000,3449,NULL,5506
06/05/2000,2478,NULL,5507
14/05/2000,1486,NULL,5508
06/09/2000,NULL,NULL,3003
09/09/2000,NULL,NULL,3004
16/09/2000,NULL,NULL,3005
24/09/2000,NULL,NULL,3006
30/09/2000,NULL,NULL,3007
02/09/2001,4020,NULL,5701
08/09/2001,4865,NULL,5702
16/09/2001,4403,NULL,3010
22/09/2001,4682,NULL,3011
13/10/2001,7875,NULL,3012
20/10/2001,3612,NULL,3013
11/11/2001,6059,NULL,3014
17/11/2001,5429,NULL,3015
25/11/2001,3489,NULL,3016
01/12/2001,5841,NULL,3017
08/12/2001,4775,NULL,3018
27/12/2001,16250,NULL,3019
09/02/2002,9389,NULL,3020
23/02/2002,5392,NULL,5581
09/03/2002,9461,NULL,5582
16/03/2002,5118,NULL,5583
31/03/2002,6512,NULL,5584
13/04/2002,3609,NULL,5585
19/04/2002,3497,NULL,5586
05/05/2002,6076,NULL,5587
08/05/2002,3871,NULL,5588
09/05/2002,6076,NULL,3027
12/05/2002,5678,NULL,5589
30/08/2002,5313,NULL,5590
07/09/2002,9544,NULL,5591
13/09/2002,5678,NULL,5592
20/09/2002,5123,NULL,5593
27/09/2002,5613,NULL,5594
05/10/2002,4514,NULL,5595
27/10/2002,4245,NULL,5596
01/11/2002,4688,NULL,5597
10/11/2002,7430,NULL,5598
15/11/2002,5196,NULL,5599
24/11/2002,5242,NULL,5600
29/11/2002,5700,NULL,5601
29/12/2002,5642,NULL,5602
03/01/2003,5678,NULL,5603
02/02/2003,7565,NULL,5604
08/02/2003,6823,NULL,5605
15/03/2003,5700,NULL,5606
06/04/2003,16185,NULL,5607
18/04/2003,5800,NULL,5608
26/04/2003,9202,NULL,5609
03/05/2003,5800,NULL,5610
10/05/2003,6211,NULL,5611
12/09/2003,8105,NULL,5612
21/09/2003,5628,NULL,5613
26/09/2003,6500,NULL,5614
04/10/2003,15507,NULL,5615
10/10/2003,5803,NULL,5616
17/10/2003,2229,NULL,5617
25/10/2003,5123,NULL,5618
31/10/2003,5605,NULL,5619
08/11/2003,3367,NULL,5620
21/11/2003,5487,NULL,5621
30/11/2003,7488,NULL,5622
19/12/2003,6643,NULL,5623
27/12/2003,8797,NULL,5624
04/01/2004,9506,NULL,5625
06/02/2004,10541,NULL,5626
14/02/2004,10933,NULL,5627
21/02/2004,11756,NULL,5628
26/03/2004,6487,NULL,5629
03/04/2004,9980,NULL,5630
23/04/2004,9486,NULL,5631
02/05/2004,6917,NULL,5632
08/05/2004,4036,NULL,5633
05/09/2004,6952,NULL,5634
11/09/2004,7011,NULL,5635
17/09/2004,7014,NULL,5636
24/09/2004,6647,NULL,5637
03/10/2004,4592,NULL,5638
08/10/2004,8206,NULL,5639
16/10/2004,11365,NULL,5640
05/11/2004,10641,NULL,5641
13/11/2004,10500,NULL,5642
19/11/2004,6186,NULL,5643
26/11/2004,12365,NULL,5644
27/12/2004,10641,NULL,5645
02/01/2005,10200,NULL,5646
29/01/2005,7887,NULL,5647
06/02/2005,8116,NULL,5648
18/02/2005,7556,NULL,5649
25/02/2005,8447,NULL,5650
13/03/2005,5751,NULL,5651
25/03/2005,10641,NULL,5652
09/04/2005,16815,NULL,5653
15/04/2005,9456,NULL,5654
30/04/2005,8500,NULL,5655
07/05/2005,5824,NULL,5656
02/09/2005,10546,NULL,5703
10/09/2005,9374,1472,3372
16/09/2005,7246,1473,3373
25/09/2005,7132,1474,3374
02/10/2005,4917,2497,4394
07/10/2005,4572,2498,4395
14/10/2005,9916,1475,3375
21/10/2005,10704,2500,4397
28/10/2005,7844,2501,4398
05/11/2005,4206,1476,3376
11/11/2005,7056,1477,3377
18/11/2005,10641,1478,3378
27/11/2005,7518,1479,3379
02/12/2005,12250,2499,4396
09/12/2005,6500,2502,4399
16/12/2005,9246,2503,4400
26/12/2005,10641,1480,3380
02/01/2006,10600,1481,3381
08/01/2006,9686,1484,3382
15/01/2006,8481,2504,4401
21/01/2006,13200,2505,4402
28/01/2006,16815,1486,3384
11/02/2006,9726,1487,3385
17/02/2006,10224,1488,3386
26/02/2006,10000,1489,3387
10/03/2006,9307,1490,3388
25/03/2006,19884,1491,3389
02/04/2006,32000,2506,4403
08/04/2006,10140,1492,3390
16/04/2006,9018,1493,3176
28/04/2006,10641,1494,3391
06/05/2006,13577,1495,3392
14/05/2006,10641,1496,3393
27/05/2006,58000,1497,3394
03/09/2006,16815,NULL,5657
09/09/2006,9418,NULL,5658
15/09/2006,9432,NULL,5659
22/09/2006,9537,NULL,5660
15/10/2006,9102,NULL,5661
03/11/2006,10417,NULL,5662
10/11/2006,10753,NULL,5663
17/11/2006,9340,NULL,5664
24/11/2006,8816,NULL,5665
22/12/2006,10300,NULL,5666
26/12/2006,8574,NULL,5667
01/01/2007,9422,NULL,5668
06/01/2007,8377,NULL,5669
27/01/2007,12058,NULL,5670
18/02/2007,8599,NULL,5671
23/02/2007,9275,NULL,5672
04/03/2007,8333,NULL,5673
09/03/2007,8376,NULL,5674
17/03/2007,13265,NULL,5675
06/04/2007,10037,NULL,5676
13/04/2007,10641,NULL,5677
28/04/2007,12680,NULL,5678
16/09/2007,5859,NULL,5679
23/09/2007,6402,NULL,5680
29/09/2007,10185,NULL,5681
05/10/2007,7368,NULL,5682
13/10/2007,14075,NULL,5683
