CaptainID,DateOfMatch,Captain,MatchesID
2753,24/08/1997,Jim Mallinder,2531
2754,30/08/1997,Jim Mallinder,2532
2755,18/10/1997,Jim Mallinder,2533
2756,25/10/1997,Steve Diamond,2534
2757,02/11/1997,Jim Mallinder,2535
2758,09/11/1997,Jim Mallinder,2536
2759,13/12/1997,Jim Mallinder,2537
2760,27/12/1997,Jim Mallinder,2538
2761,30/12/1997,Jim Mallinder,2539
2762,10/01/1998,Jim Mallinder,2540
2763,01/02/1998,Jim Mallinder,2541
2764,15/02/1998,Jim Mallinder,2542
2765,24/02/1998,Jim Mallinder,2543
2766,10/03/1998,Jim Mallinder,2544
2767,14/03/1998,Jim Mallinder,2545
2768,11/04/1998,Jim Mallinder,2546
2769,15/04/1998,Jim Mallinder,2547
2770,18/04/1998,Jim Mallinder,2548
2771,25/04/1998,Jim Mallinder,2549
2772,02/05/1998,Jim Mallinder,2550
2773,10/05/1998,Jim Mallinder,2551
2774,17/05/1998,Jim Mallinder,2552
2775,05/09/1998,Shane Howarth,2553
2776,12/09/1998,Shane Howarth,2554
2777,20/09/1998,Shane Howarth,2555
2778,26/09/1998,Shane Howarth,2556
2779,03/10/1998,Shane Howarth,2557
2780,17/10/1998,Shane Howarth,2558
2781,24/10/1998,Shane Howarth,2559
2782,28/10/1998,Jim Mallinder,2560
2783,07/11/1998,Jim Mallinder,2561
2784,13/11/1998,Jim Mallinder,2562
2785,22/11/1998,Jim Mallinder,2563
2786,12/12/1998,Jim Mallinder,2564
2787,20/12/1998,Jim Mallinder,2565
2788,27/12/1998,Jim Mallinder,2566
2789,02/01/1999,Jim Mallinder,2567
2790,05/01/1999,Jim Mallinder,2568
2792,23/01/1999,Pete Anglesea,2570
2793,06/02/1999,Pete Anglesea,2571
2794,14/02/1999,Jim Mallinder,2572
2795,27/02/1999,Jim Mallinder,2573
2796,13/03/1999,Jim Mallinder,2574
2797,28/03/1999,Jim Mallinder,2575
2798,03/04/1999,Jim Mallinder,2576
2799,24/04/1999,Jim Mallinder,2577
2800,01/05/1999,Jim Mallinder,2578
2801,08/05/1999,Jim Mallinder,2579
2856,11/09/1999,Jos Baxendale,NULL
2857,25/09/1999,Jos Baxendale,NULL
2858,02/10/1999,Jos Baxendale,NULL
2859,10/10/1999,Jos Baxendale,NULL
2860,17/10/1999,Jos Baxendale,NULL
2861,29/10/1999,Jos Baxendale,NULL
2862,05/11/1999,Jos Baxendale,NULL
2863,13/11/1999,Jos Baxendale,NULL
2864,04/12/1999,Jos Baxendale,NULL
2865,26/12/1999,Jos Baxendale,NULL
2866,29/12/1999,Jos Baxendale,NULL
2867,23/01/2000,Jos Baxendale,NULL
2868,12/02/2000,Jos Baxendale,NULL
2869,08/03/2000,Jos Baxendale,NULL
2870,12/03/2000,Alex Sanderson,NULL
2871,25/03/2000,Jos Baxendale,NULL
2872,08/04/2000,Jos Baxendale,NULL
2873,15/04/2000,Jos Baxendale,NULL
2874,22/04/2000,Jos Baxendale,NULL
2875,30/04/2000,Jos Baxendale,NULL
2876,06/05/2000,Jos Baxendale,NULL
2877,14/05/2000,Jos Baxendale,NULL
3021,02/09/2001,Bryan Redpath,NULL
3022,08/09/2001,Bryan Redpath,NULL
3023,16/09/2001,Bryan Redpath,NULL
3024,22/09/2001,Alex Sanderson,NULL
3025,13/10/2001,Bryan Redpath,NULL
3026,20/10/2001,Bryan Redpath,NULL
3027,11/11/2001,Stuart Pinkerton,NULL
3028,17/11/2001,Stuart Pinkerton,NULL
3029,25/11/2001,Stuart Pinkerton,NULL
3030,01/12/2001,Stuart Pinkerton,NULL
3031,08/12/2001,Stuart Pinkerton,NULL
3032,27/12/2001,Bryan Redpath,NULL
2900,09/02/2002,Bryan Redpath,NULL
2901,23/02/2002,Bryan Redpath,NULL
2902,09/03/2002,Bryan Redpath,NULL
2903,16/03/2002,Bryan Redpath,NULL
2904,31/03/2002,Bryan Redpath,NULL
2905,13/04/2002,Bryan Redpath,NULL
2906,19/04/2002,Bryan Redpath,NULL
2907,05/05/2002,Bryan Redpath,NULL
2908,08/05/2002,Stuart Pinkerton,NULL
2909,12/05/2002,Bryan Redpath,NULL
2910,30/08/2002,Bryan Redpath,NULL
2911,07/09/2002,Bryan Redpath,NULL
2912,13/09/2002,Bryan Redpath,NULL
2913,20/09/2002,Stuart Pinkerton,NULL
2914,27/09/2002,Bryan Redpath,NULL
2915,05/10/2002,Bryan Redpath,NULL
2916,27/10/2002,Bryan Redpath,NULL
2917,01/11/2002,Bryan Redpath,NULL
2918,10/11/2002,Stuart Pinkerton,NULL
2919,15/11/2002,Stuart Pinkerton,NULL
2920,24/11/2002,Stuart Pinkerton,NULL
2921,29/11/2002,Bryan Redpath,NULL
2922,29/12/2002,Bryan Redpath,NULL
2923,03/01/2003,Bryan Redpath,NULL
2924,02/02/2003,Bryan Redpath,NULL
2925,08/02/2003,Bryan Redpath,NULL
2926,15/03/2003,Bryan Redpath,NULL
2927,06/04/2003,Bryan Redpath,NULL
2928,18/04/2003,Bryan Redpath,NULL
2929,26/04/2003,Bryan Redpath,NULL
2930,03/05/2003,Bryan Redpath,NULL
2931,10/05/2003,Stuart Pinkerton,NULL
2932,12/09/2003,Alex Sanderson,NULL
2933,21/09/2003,Alex Sanderson,NULL
2934,26/09/2003,Alex Sanderson,NULL
2935,04/10/2003,Alex Sanderson,NULL
2936,10/10/2003,Alex Sanderson,NULL
2937,17/10/2003,Alex Sanderson,NULL
2938,25/10/2003,Alex Sanderson,NULL
2939,31/10/2003,Alex Sanderson,NULL
2940,08/11/2003,Alex Sanderson,NULL
2941,21/11/2003,Alex Sanderson,NULL
2942,30/11/2003,Stuart Pinkerton,NULL
2943,19/12/2003,Stuart Pinkerton,NULL
2944,27/12/2003,Stuart Pinkerton,NULL
2945,04/01/2004,Alex Sanderson,NULL
2946,06/02/2004,Jason Robinson,NULL
2947,14/02/2004,Alex Sanderson,NULL
2948,21/02/2004,Graeme Bond,NULL
2949,26/03/2004,Pete Anglesea,NULL
2950,03/04/2004,Pete Anglesea,NULL
2951,23/04/2004,Pete Anglesea,NULL
2952,02/05/2004,Pete Anglesea,NULL
2953,08/05/2004,Pete Anglesea,NULL
2954,05/09/2004,Jason Robinson,NULL
2955,11/09/2004,Jason Robinson,NULL
2956,17/09/2004,Jason Robinson,NULL
2957,24/09/2004,Jason Robinson,NULL
2958,03/10/2004,Jason Robinson,NULL
2959,08/10/2004,Jason Robinson,NULL
2960,16/10/2004,Jason Robinson,NULL
2961,05/11/2004,Jason Robinson,NULL
2962,13/11/2004,Jos Baxendale,NULL
2963,19/11/2004,Jos Baxendale,NULL
2964,26/11/2004,Jos Baxendale,NULL
2965,27/12/2004,Jason Robinson,NULL
2966,02/01/2005,Jason Robinson,NULL
2967,29/01/2005,Jason Robinson,NULL
2968,06/02/2005,Bryan Redpath,NULL
2969,18/02/2005,Jason Robinson,NULL
2970,25/02/2005,Bryan Redpath,NULL
2971,13/03/2005,Bryan Redpath,NULL
2972,25/03/2005,Bryan Redpath,NULL
2973,09/04/2005,Jason Robinson,NULL
2974,15/04/2005,Jason Robinson,NULL
2975,30/04/2005,Jason Robinson,NULL
2976,07/05/2005,Jason Robinson,NULL
710,02/09/2005,Jason Robinson,1471
711,10/09/2005,Jason Robinson,1472
712,16/09/2005,Jason Robinson,1473
713,25/09/2005,Jason Robinson,1474
1715,02/10/2005,Pete Anglesea,2497
1716,07/10/2005,Jason Robinson,2498
714,14/10/2005,Jason Robinson,1475
1718,21/10/2005,Jason Robinson,2500
1719,28/10/2005,Jason Robinson,2501
715,05/11/2005,Jason Robinson,1476
716,11/11/2005,Jason Robinson,1477
717,18/11/2005,Jason Robinson,1478
718,27/11/2005,Jason Robinson,1479
1717,02/12/2005,Pete Anglesea,2499
1720,09/12/2005,Jason Robinson,2502
1721,16/12/2005,Jason Robinson,2503
719,26/12/2005,Jason Robinson,1480
720,02/01/2006,Jason Robinson,1481
722,08/01/2006,Jason Robinson,1485
1722,15/01/2006,Jason Robinson,2504
1723,21/01/2006,Jason Robinson,2505
723,28/01/2006,Jason Robinson,1486
724,11/02/2006,Jason Robinson,1487
725,17/02/2006,Sebastien Chabal,1488
726,26/02/2006,Jason Robinson,1489
727,10/03/2006,Jason Robinson,1490
728,25/03/2006,Jason Robinson,1491
1724,02/04/2006,Jason Robinson,2506
729,08/04/2006,Jason Robinson,1492
