DateOfMatch,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,Con10,MatchesID,ConID
11/10/2009,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1193,4500
24/10/2009,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1170,4501
13/12/2009,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,4502
20/12/2009,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1001,4503
27/12/2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1002,4504
01/01/2010,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1003,4505
16/01/2010,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1004,4506
24/01/2010,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1005,4507
29/01/2010,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1006,4508
06/02/2010,Mark Atkinson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1007,4509
16/09/2007,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4510
08/10/2010,Charlie Hodgson,Charlie Hodgson,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,1008,4511
16/10/2010,Rob Miller,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,1009,4512
31/10/2010,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1010,4513
05/11/2010,Paul Williams,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1011,4514
14/11/2010,Matty James,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1012,4515
19/11/2010,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1013,4516
27/11/2010,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1014,4517
11/12/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1015,4518
20/12/2010,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1016,4519
27/12/2010,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1017,4520
02/01/2011,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1018,4521
07/01/2011,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1019,4522
14/01/2011,Rob Miller,Rob Miller,Rob Miller,Rob Miller,Rob Miller,Rob Miller,Rob Miller,NULL,NULL,NULL,1020,4523
22/01/2011,Rob Miller,Rob Miller,Rob Miller,Rob Miller,Rob Miller,NULL,NULL,NULL,NULL,NULL,1021,4524
28/01/2011,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1022,4525
06/02/2011,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1023,4526
01/09/2018,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1462,4527
09/09/2018,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1463,4528
15/09/2018,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1024,4529
22/09/2018,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1025,4530
30/09/2018,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1026,4531
06/10/2018,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1027,4532
17/11/2018,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1028,4533
24/11/2018,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1029,4534
02/12/2018,Faf de Klerk,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1030,4535
12/10/2018,Faf de Klerk,Faf de Klerk,Faf de Klerk,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,1464,4536
20/10/2018,Faf de Klerk,Faf de Klerk,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1031,4537
08/12/2018,Will Cliff,Will Cliff,Will Cliff,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,1032,4538
15/12/2018,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1033,4539
26/10/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1034,4540
02/11/2018,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1035,4541
09/11/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1036,4542
02/09/2016,Dan Mugford,Dan Mugford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1061,4543
09/09/2016,Dan Mugford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1062,4544
16/09/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1063,4545
24/09/2016,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1064,4546
01/10/2016,Will Addison,Will Addison,Will Addison,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,1065,4547
07/10/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1066,4548
30/10/2016,Byron McGuigan,Byron McGuigan,Dan Mugford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1067,4549
20/11/2016,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1068,4550
27/11/2016,Tom Arscott,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1069,4551
02/12/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1070,4552
23/12/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1071,4553
01/01/2017,James Mitchell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1072,4554
07/01/2017,Will Addison,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1073,4555
10/02/2017,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1074,4556
19/02/2017,Will Addison,Will Addison,Will Addison,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,1075,4557
25/02/2017,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1076,4558
03/03/2017,Sam James,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1077,4559
25/03/2017,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1078,4560
07/04/2017,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1079,4561
15/04/2017,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1080,4562
29/04/2017,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1081,4563
06/05/2017,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1082,4564
15/10/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1315,4565
21/10/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1083,4566
10/12/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1084,4567
18/12/2016,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1085,4568
15/01/2017,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1086,4569
21/01/2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1087,4570
