DateOfMatch,DropGoal1,DropGoal2,MatchID,DropGoalID
13/12/2009,NULL,NULL,1000,6000
20/12/2009,NULL,NULL,1001,6001
27/12/2009,NULL,NULL,1002,6002
01/01/2010,NULL,NULL,1003,6003
16/01/2010,NULL,NULL,1004,6004
24/01/2010,NULL,NULL,1005,6005
29/01/2010,NULL,NULL,1006,6006
06/02/2010,NULL,NULL,1007,6007
08/10/2010,NULL,NULL,1008,6008
16/10/2010,NULL,NULL,1009,6009
31/10/2010,NULL,NULL,1010,6010
05/11/2010,NULL,NULL,1011,6011
19/11/2010,NULL,NULL,1013,6012
27/11/2010,NULL,NULL,1014,6013
11/12/2010,NULL,NULL,1015,6014
20/12/2010,NULL,NULL,1016,6015
27/12/2010,NULL,NULL,1017,6016
02/01/2011,NULL,NULL,1018,6017
07/01/2011,NULL,NULL,1019,6018
14/01/2011,Charlie Hodgson,NULL,1020,6019
22/01/2011,NULL,NULL,1021,6020
28/01/2011,NULL,NULL,1022,6021
06/02/2011,NULL,NULL,1023,6022
01/09/2018,NULL,NULL,1462,6023
09/09/2018,NULL,NULL,1463,6024
15/09/2018,NULL,NULL,1024,6025
22/09/2018,NULL,NULL,1025,6026
30/09/2018,NULL,NULL,1026,6027
06/10/2018,NULL,NULL,1027,6028
17/11/2018,NULL,NULL,1028,6029
24/11/2018,NULL,NULL,1029,6030
02/12/2018,NULL,NULL,1030,6031
12/10/2018,NULL,NULL,1464,6032
20/10/2018,NULL,NULL,1031,6033
08/12/2018,NULL,NULL,1032,6034
15/12/2018,NULL,NULL,1033,6035
26/10/2018,NULL,NULL,1034,6036
02/11/2018,NULL,NULL,1035,6037
09/11/2018,NULL,NULL,1036,6038
02/09/2016,NULL,NULL,1061,6039
09/09/2016,NULL,NULL,1062,6040
16/09/2016,NULL,NULL,1063,6041
24/09/2016,NULL,NULL,1064,6042
01/10/2016,NULL,NULL,1065,6043
07/10/2016,NULL,NULL,1066,6044
30/10/2016,NULL,NULL,1067,6045
20/11/2016,NULL,NULL,1068,6046
27/11/2016,NULL,NULL,1069,6047
02/12/2016,NULL,NULL,1070,6048
23/12/2016,NULL,NULL,1071,6049
01/01/2017,NULL,NULL,1072,6050
07/01/2017,NULL,NULL,1073,6051
10/02/2017,NULL,NULL,1074,6052
19/02/2017,NULL,NULL,1075,6053
25/02/2017,NULL,NULL,1076,6054
03/03/2017,NULL,NULL,1077,6055
25/03/2017,NULL,NULL,1078,6056
07/04/2017,NULL,NULL,1079,6057
15/04/2017,NULL,NULL,1080,6058
29/04/2017,NULL,NULL,1081,6059
06/05/2017,NULL,NULL,1082,6060
15/10/2016,NULL,NULL,1315,6061
21/10/2016,NULL,NULL,1083,6062
10/12/2016,NULL,NULL,1084,6063
18/12/2016,NULL,NULL,1085,6064
15/01/2017,NULL,NULL,1086,6065
21/01/2017,NULL,NULL,1087,6066
04/11/2016,NULL,NULL,1088,6067
11/11/2016,NULL,NULL,1089,6068
27/01/2017,NULL,NULL,1090,6069
03/02/2017,NULL,NULL,1091,6070
17/10/2015,NULL,NULL,1104,6071
23/10/2015,NULL,NULL,1105,6072
01/11/2015,NULL,NULL,1106,6073
06/11/2015,NULL,NULL,1107,6074
22/12/2018,NULL,NULL,1046,6075
12/01/2019,NULL,NULL,1051,6076
29/12/2018,NULL,NULL,1047,6077
04/01/2019,NULL,NULL,1048,6078
19/01/2019,NULL,NULL,1052,6079
16/02/2019,NULL,NULL,1053,6080
03/02/2019,NULL,NULL,1050,6081
23/02/2019,NULL,NULL,1054,6082
08/03/2019,NULL,NULL,1056,6083
02/03/2019,NULL,NULL,1055,6084
23/03/2019,NULL,NULL,1057,6085
29/03/2019,NULL,NULL,1049,6086
05/04/2019,NULL,NULL,1058,6087
13/04/2019,NULL,NULL,1060,6088
20/04/2019,NULL,NULL,1103,6089
26/04/2019,NULL,NULL,1059,6090
03/05/2019,NULL,NULL,1101,6091
18/05/2019,NULL,NULL,1102,6092
15/11/2015,NULL,NULL,1108,6093
21/11/2015,NULL,NULL,1109,6094
28/11/2015,NULL,NULL,1110,6095
04/12/2015,NULL,NULL,1111,6096
12/12/2015,NULL,NULL,1112,6097
19/12/2015,NULL,NULL,1113,6098
26/12/2015,NULL,NULL,1114,6099
02/01/2016,Danny Cipriani,NULL,1115,6100
15/01/2016,NULL,NULL,1116,6101
21/01/2016,NULL,NULL,1118,6102
30/01/2016,NULL,NULL,1117,6103
06/02/2016,NULL,NULL,1119,6104
13/02/2016,NULL,NULL,1120,6105
20/02/2016,NULL,NULL,1121,6106
27/02/2016,NULL,NULL,1122,6107
05/03/2016,NULL,NULL,1123,6108
12/03/2016,NULL,NULL,1124,6109
20/03/2016,NULL,NULL,1125,6110
27/03/2016,NULL,NULL,1126,6111
17/04/2016,NULL,NULL,1129,6112
23/04/2016,NULL,NULL,1130,6113
29/04/2016,NULL,NULL,1131,6114
07/05/2016,NULL,NULL,1132,6115
06/09/2014,NULL,NULL,1133,6116
13/09/2014,NULL,NULL,1154,6117
21/09/2019,NULL,NULL,1134,6118
