MatchID,DateOfMatch,Fullback,RightWinger,OutsideCentre,InsideCentre,LeftWinger,FlyHalf,ScrumHalf,LooseHeadProp,Hooker,TightHeadProp,SecondRow4,SecondRow5,BlindSideFlanker,OpensideFlanker,Number8,Replacement1,Replacement2,Replacement3,Replacement4,Replacement5,Replacement6,Replacement7,Replacement8,MatchesID
3518,24/08/1997,Jim Mallinder ,David Rees,Jos Baxendell,Adrian Hadley,Tom Beim,Shane Howarth,Richard Smith,Paul Smith,Steve Diamond,Andrew Smith,Chris Murphy,Dave Baldwin,Matt Kirke,Andy Morris,David Erskine,Dylan O'Grady,Murray Driver,Chris Yates,Kevin Ellis,Pat Sanderson,Graham Dawe,NULL,NULL,3513
3519,30/08/1997,Jim Mallinder ,David Rees,Jos Baxendell,Chris Yates,Tom Beim,Shane Howarth,Kevin Ellis,Phil Winstanley,Steve Diamond,Murray Driver,Chris Murphy,Dave Baldwin,Pat Sanderson,David Erskine,Dylan O'Grady,John Devereux,Matt Moore,Richard Smith,Matt Kirke,Graham Dawe,Danny Williamson,NULL,NULL,3514
3520,18/10/1997,Jim Mallinder ,Matt Moore,Matt Tetlow,Adrian Hadley,Tom Beim,Shane Howarth,Richard Smith,Phil Winstanley,Steve Diamond,Murray Driver,Dave Baldwin,Simon Raiwalui,David Erskine,Pat Sanderson,Charles Vyvyan,Chris Murphy,Kevin Ellis,Chris Yates,Andy Morris,Graham Dawe,Danny Williamson,Tony Redmond,NULL,3515
3521,25/10/1997,Shane Howarth,Matt Moore,Chris Yates,Adrian Hadley,Tom Beim,Simon Mannix,Richard Smith,Phil Winstanley,Steve Diamond ,Murray Driver,Dave Baldwin,Simon Raiwalui,David Erskine,Pat Sanderson,Charles Vyvyan,Jim Mallinder,Kevin Ellis,Andy Morris,Chris Murphy,Graham Dawe,Danny Williamson,NULL,NULL,3516
3522,02/11/1997,Jim Mallinder ,David Rees,Shane Howarth,Adrian Hadley,Tom Beim,Simon Mannix,Kevin Ellis,Phil Winstanley,Steve Diamond,Murray Driver,Simon Raiwalui,Dave Baldwin,David Erskine,Pat Sanderson,Charles Vyvyan,Danny Williamson,Richard Smith,Matt Tetlow,Dion O'Cuinneagain,Chris Murphy,Graham Dawe,NULL,NULL,3517
3523,09/11/1997,Jim Mallinder ,David Rees,Shane Howarth,Adrian Hadley,Tom Beim,Simon Mannix,Kevin Ellis,Phil Winstanley,Steve Diamond,Murray Driver,Simon Raiwalui,Dave Baldwin,David Erskine,Pat Sanderson,Charles Vyvyan,Graham Dawe,Dion O'Cuinneagain,Matt Tetlow,Chris Murphy,Danny Williamson,Richard Smith,NULL,NULL,3518
3524,13/12/1997,Jim Mallinder ,David Rees,Shane Howarth,Adrian Hadley,Tom Beim,Simon Mannix,Kevin Ellis,Phil Winstanley,Steve Diamond,Danny Williamson,Simon Raiwalui,Dave Baldwin,David Erskine,Pat Sanderson,Dion O'Cuinneagain,Dylan O'Grady,Charles Vyvyan,Chris Yates,Duncan Bell,Dean Kenny,Graham Dawe,NULL,NULL,3519
3525,27/12/1997,Jim Mallinder ,David Rees,Jos Baxendell,Shane Howarth,Tom Beim,Simon Mannix,Kevin Ellis,Danny Williamson,Steve Diamond,Duncan Bell,Simon Raiwalui,Dave Baldwin,David Erskine,Pat Sanderson,Charles Vyvyan,Chris Murphy,Graham Dawe,Murray Driver,Dion O'Cuinneagain,Dean Kenny,Chris Yates,NULL,NULL,3520
3526,30/12/1997,Jim Mallinder ,David Rees,Jos Baxendell,Shane Howarth,Tom Beim,Simon Mannix,Kevin Ellis,Paul Smith,Graham Dawe,Duncan Bell,Chris Murphy,Dave Baldwin,Simon Raiwalui,Dion O'Cuinneagain,Charles Vyvyan,Richard Smith,Murray Driver,Chris Yates,Pat Sanderson,David Erskine,Steve Diamond,NULL,NULL,3521
3527,10/01/1998,Jim Mallinder ,David Rees,Jos Baxendell,Shane Howarth,Tom Beim,Simon Mannix,Richard Smith,Paul Smith,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,David Erskine,Pat Sanderson,Dion O'Cuinneagain,Matt Tetlow,Murray Driver,Graham Dawe,Dylan O'Grady,Chris Murphy,Dean Kenny,NULL,NULL,3522
