DateOfMatch,Penalty1,Penalty2,Penalty3,Penalty4,Penalty5,Penalty6,Penalty7,Penalty8,MatchID,PenaltiesID
13/12/2009,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1500
20/12/2009,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,1000,1501
27/12/2009,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,1000,1502
01/01/2010,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,1000,1503
16/01/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1504
24/01/2010,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,NULL,1000,1505
08/10/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1506
16/10/2010,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,1000,1507
31/10/2010,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1000,1508
05/11/2010,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1509
14/11/2010,Matty James,Matty James,NULL,NULL,NULL,NULL,NULL,NULL,1000,1510
19/11/2010,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1511
27/11/2010,Nick Macleod,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,1000,1512
11/12/2010,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1000,1513
20/12/2010,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,1000,1514
27/12/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1515
02/01/2011,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,1000,1516
07/01/2011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1517
14/01/2011,Charlie Hodgson,Charlie Hodgson,Charlie Hodgson,NULL,NULL,NULL,NULL,NULL,1000,1518
22/01/2011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1519
28/01/2011,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1520
01/09/2018,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,1000,1521
09/09/2018,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1522
15/09/2018,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1523
22/09/2018,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,1000,1524
30/09/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1525
06/10/2018,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1526
17/11/2018,Rob du Preez,Rob du Preez,Rob du Preez,Rob du Preez,Rob du Preez,Rob du Preez,NULL,NULL,1000,1527
24/11/2018,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,1000,1528
12/10/2018,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1529
20/10/2018,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1000,1530
15/11/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1531
15/12/2018,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1000,1532
26/10/2018,Kieran Wilkinson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1533
02/11/2018,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1534
09/11/2018,Rob Du Preez,Rob Du Preez,NULL,NULL,NULL,NULL,NULL,NULL,1000,1535
02/09/2016,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1536
09/09/2016,Dan Mugford,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1537
16/09/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1538
24/09/2016,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1539
01/10/2016,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1540
07/10/2016,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1541
30/10/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1542
20/11/2016,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1543
27/11/2016,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1544
02/12/2016,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1545
23/12/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1546
01/01/2017,James Mitchell,James Mitchell,NULL,NULL,NULL,NULL,NULL,NULL,1000,1547
07/01/2017,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1548
10/02/2017,Will Addison,Will Addison,Will Addison,NULL,NULL,NULL,NULL,NULL,1000,1549
19/02/2017,Will Addison,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,1000,1550
25/02/2017,Will Addison,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1551
03/03/2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1552
25/03/2017,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,1000,1553
07/04/2017,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1554
15/04/2017,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1555
29/04/2017,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1556
06/05/2017,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1557
15/10/2016,Dan Mugford,Dan Mugford,NULL,NULL,NULL,NULL,NULL,NULL,1000,1558
21/10/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1559
