PlayerID,Player,DateOfBirth,PlaceOfBirth,DateSigned,OldClub
1110,Tony Buckley,18/09/1980,Cork,01/07/2011,26
1111,Jim Mallinder,16/03/1966,Halifax,07/07/1989,100
1112,Jos Baxendell,12/03/1972,Cheshire,04/03/1993,54
1113,Pat Sanderson,19/09/1977,Chester ,14/01/1997,100
1114,Dion O'Cuinneagain,24/05/1972,Cape Town,04/04/1997,43
1115,Paul Smith,28/03/1978,Nantwich,12/05/1997,100
1116,Matt Moore,02/04/1976,Frimley,22/05/1997,100
1117,Adrian Hadley,01/03/1963,Cardiff,31/05/1997,23
1118,Tasesa Lavea,01/10/1974,Kings Lynn,03/06/1997,67
1119,Dave Baldwin,03/09/1965,Ilkley,27/06/1997,100
1120,Andy Morris,01/09/1971,Blackburn,29/06/1997,100
1121,Phil Winstanley,16/09/1968,Orrell,01/07/1997,100
1122,Simon Mannix,10/08/1971,Lower Hutt,03/07/1997,48
1123,Simon Raiwalui,08/09/1974,Auckland,25/09/1997,39
1124,Alex Sanderson,07/10/1979,Chester,03/05/1998,100
1125,Jan Machá?ek,15/02/1972,Prague,17/06/1998,21
1126,Steve Hanley,11/06/1979,Whitehaven,24/06/1998,100
1127,Phil Greening,03/10/1975,Gloucster,02/07/1998,6
1128,Pete Anglesea,30/10/1971,Bolton,06/07/1998,100
1129,Steve Davidson,25/04/1976,Whitehaven,30/07/1998,100
1130,Richard Wilks,08/10/1977,Manchester,15/03/1999,100
1131,Guy Manson-Bishop,03/08/1973,Dundee,03/05/1999,60
1132,Bernard Jackman,05/05/1976,Tullow,31/05/1999,68
1133,Byron Hayward,22/02/1969,Cardiff,06/06/1999,6
1134,Andy Whittle,21/07/1973,MAnchester,06/06/1999,100
1135,Nicky Little,13/09/1976,Tokoroa,02/07/1999,35
1136,Joe Clark,03/06/1977,Bristol,07/07/1999,12
1137,Paul Devlin,19/02/1981,Whilston,12/02/2000,100
1138,Leroy Rivett,17/12/1976,Leicster,18/03/2000,64
1139,Mel Deane,16/01/1975,London,03/05/2000,27
1140,Norm Rusk,08/03/1977,Wellington,13/05/2000,39
1141,Apollo Perelini,16/07/1969,Auckland,15/05/2000,35
1142,Charlie Hodgson,12/11/1980,Halifax,24/05/2000,100
1143,Dan Harris,17/05/1977,High Wycombe,30/05/2000,79
1144,Martin Shaw,02/09/1975,Bishop Auckland,13/06/2000,8
1145,Rob Appleyard,09/12/1972,Haverfordwest,25/06/2000,18
1146,Bryan Redpath,02/07/1971,Galashiels,25/06/2000,30
1147,Adam Black,24/05/1975,Romford,06/07/2000,79
1148,Anthony Elliott,02/02/1981,Stockton-On-Tees,07/07/2000,100
1149,Scott Lines,28/07/1973,Kapomga,08/07/2000,52
1150,Jimmy Moore,27/10/1982,Chester,15/07/2000,100
1151,Jason Robinson,30/07/1974,Leeds,15/07/2000,5
1152,Vaughan Going,26/08/1972,Whangarei,25/07/2000,24
1153,Jon Thiel,31/05/1975,White Rock,20/08/2000,28
1154,Chris Jones,24/06/1980,Manchester,07/06/2000,10
1155,Ben Roberts,01/02/1969,Sydney,14/05/2001,75
1156,Henry Thomas,25/03/1973,Auckland,25/05/2001,100
1157,Alasdair Dickinson,02/04/1976,Knowsley,01/06/2001,100
1158,Andy Titterell,10/01/1981,Dartford,03/06/2001,2
1159,Stuart Turner,22/04/1972,Southport,13/06/2001,14
1160,Jim Bramhall,20/05/1978,Northampton,15/07/2001,11
1161,Dean Schofield,19/01/1979,Clayton,19/07/2001,100
1162,Kevin Yates,06/11/1972,Canada,26/07/2001,5
1163,Mark Cueto,26/12/1979,Workington,30/07/2001,100
1164,Iain Fullarton,25/04/1976,Edinburgh,03/08/2001,25
1165,Magnus Lund,25/06/1983,Manchester,12/02/2002,100
1166,Matt Parr,29/09/1982,Penrith,12/04/2002,100
1167,Graeme Bond,21/05/1974,Duke of York Island,06/06/2002,58
1168,Nick Walshe,01/11/1974,Chiswick,12/06/2002,2
1169,Barry Stewart,03/06/1976,Edinburgh,15/06/2002,25
1170,Johnny Roddam,08/12/1981,Barrow-In-Furness,12/07/2002,24
1171,Richard Wigglesworth,09/06/1983,Blackpool,17/07/2002,100
1172,Warren Spragg,01/11/1981,Manchester,24/07/2002,100
1173,Jim Thorp,22/05/1975,Birmingham,07/08/2002,14
1174,Andy Kyriacou,04/01/1983,Liverpool,24/05/2003,100
1175,Chris Mayor,19/05/1982,Wigan,27/05/2003,41
1176,Matt Cairns,31/03/1974,Birkenhead,12/06/2003,2
1177,Braam van Straaten,28/09/1971,Pretoria,17/06/2003,9
1178,Andrew Sheridan,01/11/1979,Bromley,17/06/2003,27
1179,Chris Day,24/06/1983,Blackpool,13/07/2003,100
1180,Jason White,07/04/1978,Edinburgh,15/07/2003,16
1181,Mike Hercus,05/06/1979,Falls Church,15/08/2003,78
1182,Chris Brightwell,27/05/1982,St Helens,25/08/2003,100
1183,Martin Halsall,25/12/1984,Blackpool,13/09/2003,100
1184,Ben Lloyd,07/10/1984,Rochdale,23/02/2004,100
1185,John Carter,16/02/1981,MAnchester,19/03/2004,100
1186,Ben Foden,22/07/1985,Chester,25/03/2004,100
1187,Adam Newton,07/09/1984,Manchester,12/04/2004,100
1188,Jon Bryant,14/10/1976,Aberdare,15/04/2004,38
1189,Sean Cox,16/01/1985,Lancaster,26/04/2004,100
1190,Hugh Perrett,06/04/1982,Sydney,03/05/2004,58
1191,Sebastian Bruno,26/08/1974,Nimes,12/05/2004,46
1192,Sebastian Bozzi,01/06/1971,Buenos Aires,13/05/2004,49
1193,Josh Taumalolo,08/07/1976,Tonga,12/06/2004,56
1194,Sebastien Chabal,08/12/1977,Valence,20/06/2004,76
1195,Trevor Woodman,04/08/1976,Plymouth,29/06/2004,6
1196,Pierre Caillet,17/08/1980,La Mure,12/07/2004,6
1197,Rob Todd,19/04/1971,Auckland,12/07/2004,6
1198,Scott Benton,08/09/1974,Bradford,15/07/2004,9
1199,Sililo Martens,27/04/1977,Auckland,25/07/2004,71
1200,Jason Duffy,09/12/1985,MAnchester,17/01/2005,100
1201,Nick Royle,25/09/1983,Manchester,11/02/2005,100
1202,Matt Riley,18/06/1986,Whiston,20/02/2005,100
1203,Marc Jones,03/04/1987,Pontypridd,12/03/2005,100
1204,David Tait,05/10/1987,Sale,22/03/2005,100
1205,Ignacio Fernandez Lobbe,20/11/1974,Buenos Aires,01/05/2005,72
1206,Mark Taylor,27/02/1973,Blaenavon,22/05/2005,38
1207,Daniel Larrechea,09/07/1977,Bayonne,31/05/2005,80
1208,David Blair,14/07/1985,Edinburgh,01/06/2005,25
1209,Eifion Lewis-Roberts,13/02/1981,St Asaph,01/06/2005,100
1210,Ben Coutts,15/08/1979,Canberra,12/06/2005,67
1211,Steve Booth,19/09/1976,Pontefract,15/06/2005,5
1212,Michael Hills,26/11/1976,Montauban,19/06/2005,55
1213,Michael Hills,11/06/1985,Doncaster,02/07/2005,15
1214,John Payne,01/02/1980,Manly,07/07/2005,45
1215,Nathan Bonner-Evans,27/10/1978,Swansea,12/07/2005,18
1216,Elvis Sevealii,20/06/1978,Wellington,12/07/2005,18
1217,Oriol Ripol Fortuny,06/09/1975,Barcelona,12/07/2005,14
1218,Mike Hills,11/06/1985,Doncaster,14/07/2005,15
1219,Valentin Courrent,16/08/1982,Bondy,24/07/2005,75
1220,Epi Taione,02/03/1979,Tonga,25/07/2005,8
1221,Neil Briggs,01/06/1985,Germany,26/07/2005,14
1222,Will Cliff,17/10/1988,Macclesfield,25/03/2006,100
1223,Chris Bell,07/01/1983,Plymouth,29/05/2006,9
1224,Pierre Gaona,11/06/1980,Saint Jean de Luz,01/06/2006,49
1225,Andy Vilk,11/06/1981,Hammersmith,13/06/2006,11
1226,Lee Thomas,02/06/1984,Barry,15/06/2006,23
1227,Ben Evans,31/07/1975,Cardiff,17/06/2006,23
1228,Juan Martin Fernandez Lobbe,19/11/1981,Buenos Aires,07/07/2006,62
1229,Rob O'Donnell,15/12/1985,Liverpool,13/07/2006,100
1230,Genaro Fessia,22/07/1981,Cordoba,27/01/2007,100
1231,Chris Leck,21/05/1986,Manchester,15/02/2007,100
1232,Tom Holmes,05/01/1990,Manchester,24/03/2007,100
1233,Scott Lawson,28/09/1981,Lanark,25/04/2007,16
1234,Geraint Rhys Jones,23/08/1987,Abergavenny,16/05/2007,100
1235,Brent Cockbain,15/11/1974,Coffs Harbour,27/05/2007,18
1236,Luke McAlister,28/08/1983,Waitara,12/06/2007,39
1237,Rory Lamont,10/10/1982,Perth,13/06/2007,16
1238,Rudi Keil,08/12/1977,Johannesburg,15/07/2007,6
1239,Julien Laharrague,29/07/1978,Tarbes,18/07/2007,31
1240,Matt Sturges,06/10/1998,Preston,14/08/2017,100
1241,Matt Postlethwaite,01/10/1996,Steeton,14/08/2017,100
1243,James Gaskell,20/05/1990,Crewe,19/01/2008,100
1244,Dave Ward,21/05/1985,Bath,13/05/2008,11
1245,Anitelea Tuilagi,05/06/1986,Samoa,26/05/2008,9
1246,Dwayne Peel,31/01/1981,Carmathen,29/05/2008,38
1247,Nick Macleod,23/03/1983,Cardiff,13/06/2008,23
1248,Kris Ormsby,12/04/1980,Auckland,15/06/2008,70
1249,Andy Tuilagi,05/06/1986,Apia,29/06/2008,9
1250,Kristian Ormsby,12/04/1980,Auckland,12/07/2008,48
1251,David Doherty,28/01/1987,Leeds,13/07/2008,3
1252,Luke Abraham,26/09/1983,Leicster,15/07/2008,4
1253,Mathew Tait,06/02/1986,Shotley Bridge,24/08/2008,8
1254,Tom Brady,10/02/1991,Urmston,13/09/2008,100
1255,Ross Davies,25/03/1984,Newport,13/09/2008,56
1256,Mark Atkinson,08/03/1990,Knowsley,11/11/2008,100
1257,Carl Fearns,28/05/1989,Liverpool,12/12/2008,100
1258,Lee Imiolek,21/09/1990,Manchester,18/03/2009,100
1259,David Seymour,27/09/1984,High Wycombe,22/05/2009,2
1260,Ed Styles,07/12/1989,Stockport,05/06/2009,100
1261,Mo Schwalger,15/09/1978,Apia,17/06/2009,48
1262,Carlos Ignacio Fernández Lobbe,20/11/1974,Buenos Aires,19/06/2009,11
1263,Sisa Koyamaibole,06/03/1981,Suva,15/07/2009,51
1264,Ben Cohen,14/09/1978,Northampton,15/07/2009,75
1265,Chris Brightwell,03/12/1984,Lower Hutt,07/08/2009,79
1266,Gavin Kerr,03/04/1977,Newcastle Upon Tyne,25/07/2009,25
1267,Marika Vakacegu,23/06/1981,Suva,29/07/2009,68
1268,Jack Forster,19/03/1989,Wigan,06/03/2009,100
1269,Fergus Mulchrone,23/12/1986,Manchester,06/03/2009,100
1270,Dai Bishop,22/09/1986,Church Village,22/07/2009,18
1271,Dan Birchall,02/10/1988,Manchester,09/01/2009,100
1272,Daniel Hall,30/07/1991,Manchester,30/05/2009,100
1273,Alex Cheesman,17/10/1988,London,01/07/2009,100
1274,Henry Thomas,30/10/1991,Kingston Upon Thames,12/01/2010,100
1275,Will Addison,20/08/1992,Penrith,02/02/2010,100
1276,Rhys Crane,14/10/1985,Wolverhampton,06/02/2010,100
1277,Karena Wihongi,29/09/1979,New Zealand,06/05/2010,76
1278,Kyle Tonetti,08/10/1987,Durban,12/05/2010,17
1279,Tommy Bell,11/11/1992,Plymouth,13/05/2010,100
1280,Asaeli Boko,16/09/1981,Fiji,05/06/2010,100
