redcardsID,DateOfMatch,redcard1,redcard2,MatchID
1000,08/12/2018,Andrei Ostrikov,NULL,1032
1001,20/03/2016,Johnny Leota,NULL,1125
1002,27/03/2016,NULL,NULL,1126
1003,02/04/2016,NULL,NULL,1127
1004,08/04/2016,NULL,NULL,1128
1005,17/04/2016,NULL,NULL,1129
1006,29/04/2016,NULL,NULL,1131
1007,07/05/2016,NULL,NULL,1132
1008,18/05/2019,NULL,NULL,1102
1009,03/05/2019,NULL,NULL,1101
1010,26/04/2019,NULL,NULL,1059
1011,20/04/2019,NULL,NULL,1103
1012,13/04/2019,NULL,NULL,1060
1013,05/04/2019,NULL,NULL,1058
1014,29/03/2019,NULL,NULL,1049
1015,23/03/2019,NULL,NULL,1057
1016,08/03/2019,NULL,NULL,1056
1017,02/03/2019,NULL,NULL,1055
1018,23/02/2019,NULL,NULL,1054
1019,16/02/2019,NULL,NULL,1053
1020,03/02/2019,NULL,NULL,1050
1021,19/01/2019,NULL,NULL,1052
1022,12/01/2019,NULL,NULL,1051
1023,04/01/2019,NULL,NULL,1048
1024,29/12/2018,NULL,NULL,1047
1025,22/12/2018,NULL,NULL,1046
1026,15/12/2018,NULL,NULL,1033
1027,02/12/2018,NULL,NULL,1030
1028,24/11/2018,NULL,NULL,1029
1029,17/11/2018,NULL,NULL,1028
1030,09/11/2018,NULL,NULL,1036
1031,02/11/2018,NULL,NULL,1035
1032,26/10/2018,NULL,NULL,1034
1033,20/10/2018,NULL,NULL,1031
1034,12/10/2018,NULL,NULL,1464
1035,06/10/2018,NULL,NULL,1027
1036,30/09/2018,NULL,NULL,1026
1037,22/09/2018,NULL,NULL,1025
1038,15/09/2018,NULL,NULL,1024
1039,06/09/2014,NULL,NULL,1133
1040,13/09/2014,NULL,NULL,1154
1041,21/09/2019,NULL,NULL,1134
1042,28/09/2019,NULL,NULL,1135
1043,05/10/2019,NULL,NULL,1136
1044,12/10/2019,NULL,NULL,1137
1045,19/10/2019,NULL,NULL,1138
1046,26/10/2019,NULL,NULL,1465
1047,01/11/2019,NULL,NULL,1139
1048,08/11/2019,NULL,NULL,1140
1049,05/10/2014,NULL,NULL,1143
1050,20/09/2014,NULL,NULL,1141
1051,27/09/2014,NULL,NULL,1142
1052,11/10/2014,NULL,NULL,1144
1053,18/10/2014,NULL,NULL,1443
1054,26/10/2014,NULL,NULL,1155
1055,01/11/2014,NULL,NULL,1145
1056,09/11/2014,NULL,NULL,1146
1057,15/11/2014,NULL,NULL,1147
1058,21/11/2014,NULL,NULL,1148
1059,30/11/2014,NULL,NULL,1149
1060,06/12/2014,NULL,NULL,1150
1061,13/12/2014,NULL,NULL,1151
1062,19/12/2014,NULL,NULL,1152
1063,27/12/2014,NULL,NULL,1153
1064,04/01/2015,NULL,NULL,1444
1065,10/01/2015,NULL,NULL,1445
1066,16/11/2019,NULL,NULL,1156
1067,24/11/2019,NULL,NULL,1466
1068,30/11/2019,Jean-Luc du Preez,NULL,1157
1069,08/12/2019,NULL,NULL,1158
1070,15/12/2019,NULL,NULL,1159
1071,21/12/2019,NULL,NULL,1467
1072,28/12/2019,NULL,NULL,1160
1073,03/01/2020,NULL,NULL,1161
1074,10/01/2020,Valery Morozov,NULL,1162
1075,18/01/2020,NULL,NULL,1163
1076,25/01/2020,NULL,NULL,1164
1077,07/02/2020,NULL,NULL,1165
1078,15/02/2020,NULL,NULL,1468
1079,21/02/2020,NULL,NULL,1166
1080,28/02/2020,NULL,NULL,1469
1081,06/03/2020,NULL,NULL,1470
1082,22/11/2009,NULL,NULL,1167
1083,05/12/2009,NULL,NULL,1168
1084,30/10/2009,NULL,NULL,1169
1085,24/10/2009,NULL,NULL,1170
1086,02/10/2009,NULL,NULL,1171
1087,04/09/2009,NULL,NULL,1172
1088,13/09/2009,NULL,NULL,1174
1089,18/09/2009,NULL,NULL,1173
1090,26/09/2009,NULL,NULL,1175
1091,14/02/2010,NULL,NULL,1176
1092,19/02/2010,NULL,NULL,1177
1093,27/02/2010,NULL,NULL,1178
1094,07/03/2010,NULL,NULL,1179
1095,19/03/2010,NULL,NULL,1180
1096,28/03/2010,NULL,NULL,1181
1097,02/04/2010,NULL,NULL,1182
1098,17/04/2010,NULL,NULL,1183
1099,23/04/2010,NULL,NULL,1184
1100,08/05/2010,NULL,NULL,1185
1101,03/09/2010,NULL,NULL,1186
1102,12/09/2010,NULL,NULL,1187
1103,17/09/2010,NULL,NULL,1188
1104,25/09/2010,NULL,NULL,1189
1105,01/10/2010,NULL,NULL,1190
1106,22/10/2010,NULL,NULL,1191
1107,09/04/2010,NULL,NULL,1192
1108,01/01/2010,NULL,NULL,1003
1109,16/01/2010,NULL,NULL,1004
1110,24/01/2010,NULL,NULL,1005
1111,29/01/2010,NULL,NULL,1006
1112,06/02/2010,NULL,NULL,1007
1113,08/10/2010,NULL,NULL,1008
1114,16/10/2010,NULL,NULL,1009
1115,31/10/2010,NULL,NULL,1010
1116,05/11/2010,NULL,NULL,1011
1117,14/11/2010,NULL,NULL,1012
1118,19/11/2010,NULL,NULL,1013
1119,27/11/2010,NULL,NULL,1014
1120,11/12/2010,NULL,NULL,1015
1121,20/12/2010,NULL,NULL,1016
1122,27/12/2010,NULL,NULL,1017
1123,11/10/2009,NULL,NULL,1193
1124,16/10/2009,NULL,NULL,1194
1125,06/11/2009,NULL,NULL,1195
1126,13/11/2009,NULL,NULL,1196
1127,13/12/2009,NULL,NULL,1000
1128,20/12/2009,NULL,NULL,1001
1129,27/12/2009,NULL,NULL,1002
1130,02/01/2011,NULL,NULL,1018
1131,07/01/2011,NULL,NULL,1019
1132,14/01/2011,NULL,NULL,1020
1133,22/01/2011,NULL,NULL,1021
1134,06/02/2011,NULL,NULL,1023
1135,28/01/2011,NULL,NULL,1022
1136,03/09/2011,NULL,NULL,1207
1137,09/09/2011,NULL,NULL,1208
1138,17/09/2011,NULL,NULL,1209
1139,12/11/2011,NULL,NULL,1211
1140,21/10/2011,NULL,NULL,1212
1141,08/12/2011,NULL,NULL,1213
1142,18/12/2011,NULL,NULL,1214
1143,23/09/2011,NULL,NULL,1215
1144,01/10/2011,NULL,NULL,1216
1145,08/10/2011,NULL,NULL,1217
1146,28/10/2011,NULL,NULL,1218
1147,06/11/2011,NULL,NULL,1219
1148,25/11/2011,NULL,NULL,1220
1149,03/12/2011,NULL,NULL,1221
1150,26/12/2011,NULL,NULL,1222
1151,14/01/2012,NULL,NULL,1223
1152,19/01/2012,NULL,NULL,1224
1153,29/01/2012,NULL,NULL,1225
1154,04/02/2012,NULL,NULL,1226
1155,01/01/2012,NULL,NULL,1227
1156,08/01/2012,NULL,NULL,1228
1157,10/02/2012,NULL,NULL,1229
1158,18/11/2011,NULL,NULL,1238
1159,01/09/2012,NULL,NULL,1240
1160,15/09/2012,NULL,NULL,1241
1161,08/09/2012,NULL,NULL,1239
1162,21/09/2012,NULL,NULL,1242
1163,29/09/2012,NULL,NULL,1243
1164,05/10/2012,NULL,NULL,1244
1165,14/10/2012,NULL,NULL,1245
1166,21/10/2012,NULL,NULL,1246
1167,26/10/2012,NULL,NULL,1247
1168,02/11/2012,NULL,NULL,1248
1169,11/11/2012,NULL,NULL,1249
1170,16/11/2012,NULL,NULL,1250
1171,24/11/2012,NULL,NULL,1251
1172,30/11/2012,NULL,NULL,1252
1173,08/12/2012,NULL,NULL,1253
1174,16/12/2012,NULL,NULL,1254
1175,23/12/2012,NULL,NULL,1255
1176,28/12/2012,NULL,NULL,1256
1177,06/01/2013,NULL,NULL,1270
1178,11/01/2013,NULL,NULL,1257
1179,19/01/2013,NULL,NULL,1440
1180,26/01/2013,NULL,NULL,1258
1181,02/02/2013,NULL,NULL,1259
1182,08/02/2013,NULL,NULL,1262
1183,10/03/2013,NULL,NULL,1260
1184,17/03/2013,NULL,NULL,1261
1185,17/02/2013,NULL,NULL,1263
1186,22/02/2013,NULL,NULL,1264
1187,02/03/2013,NULL,NULL,1265
1188,22/03/2013,NULL,NULL,1442
1189,31/03/2013,NULL,NULL,1266
1190,12/04/2013,NULL,NULL,1267
1191,20/04/2013,NULL,NULL,1268
1192,04/05/2013,NULL,NULL,1269
1193,07/09/2013,NULL,NULL,1271
1194,13/09/2013,NULL,NULL,1272
1195,20/09/2013,NULL,NULL,1273
1196,27/09/2013,NULL,NULL,1274
1197,04/10/2013,NULL,NULL,1275
1198,10/10/2013,NULL,NULL,1276
1199,19/10/2013,NULL,NULL,1277
1200,26/10/2013,NULL,NULL,1278
1201,01/11/2013,NULL,NULL,1279
1202,08/11/2013,NULL,NULL,1280
1203,15/11/2013,NULL,NULL,1281
1204,25/01/2014,NULL,NULL,1282
1205,31/01/2014,NULL,NULL,1283
1206,05/12/2013,NULL,NULL,1284
1207,13/12/2013,NULL,NULL,1285
1208,10/01/2014,NULL,NULL,1286
1209,18/01/2014,NULL,NULL,1287
1210,03/04/2014,NULL,NULL,1288
1211,22/11/2013,NULL,NULL,1289
1212,30/11/2013,NULL,NULL,1290
1213,20/12/2013,NULL,NULL,1291
1214,28/12/2013,NULL,NULL,1292
1215,03/01/2014,NULL,NULL,1293
1216,07/02/2014,NULL,NULL,1294
1217,14/02/2014,NULL,NULL,1295
1218,23/09/2017,NULL,NULL,1037
1219,29/09/2017,NULL,NULL,1038
1220,06/10/2017,NULL,NULL,1039
1221,01/12/2017,NULL,NULL,1040
1222,23/12/2017,NULL,NULL,1041
1223,30/12/2017,NULL,NULL,1042
1224,13/10/2017,NULL,NULL,1043
1225,10/11/2017,NULL,NULL,1044
1226,09/12/2017,NULL,NULL,1045
1227,01/01/2017,NULL,NULL,1072
1228,07/01/2017,NULL,NULL,1073
1229,10/02/2017,NULL,NULL,1074
1230,19/02/2017,NULL,NULL,1075
1231,25/02/2017,NULL,NULL,1076
1232,03/03/2017,NULL,NULL,1077
1233,25/03/2017,NULL,NULL,1078
1234,07/04/2017,NULL,NULL,1079
1235,15/04/2017,NULL,NULL,1080
1236,29/04/2017,NULL,NULL,1081
1237,06/05/2017,NULL,NULL,1082
1238,15/01/2017,NULL,NULL,1086
1239,21/01/2017,NULL,NULL,1087
1240,27/01/2017,NULL,NULL,1090
1241,03/02/2017,NULL,NULL,1091
1242,02/09/2017,NULL,NULL,1092
1243,08/09/2017,NULL,NULL,1093
1244,15/09/2017,NULL,NULL,1094
1245,27/10/2017,NULL,NULL,1095
1246,19/11/2017,NULL,NULL,1096
1247,25/11/2017,NULL,NULL,1097
1248,20/10/2017,NULL,NULL,1098
1249,03/11/2017,NULL,NULL,1099
1250,17/12/2017,NULL,NULL,1100
1251,02/01/2016,NULL,NULL,1115
1252,15/01/2016,NULL,NULL,1116
1253,21/01/2016,NULL,NULL,1118
1254,30/01/2016,NULL,NULL,1117
1255,06/02/2016,NULL,NULL,1119
1256,13/02/2016,NULL,NULL,1120
1257,20/02/2016,NULL,NULL,1121
1258,27/02/2016,NULL,NULL,1122
1259,05/03/2016,NULL,NULL,1123
1260,12/03/2016,NULL,NULL,1124
1261,23/04/2016,NULL,NULL,1130
1262,02/09/2016,NULL,NULL,1061
1263,09/09/2016,NULL,NULL,1062
1264,16/09/2016,NULL,NULL,1063
1265,24/09/2016,NULL,NULL,1064
1266,01/10/2016,NULL,NULL,1065
1267,07/10/2016,NULL,NULL,1066
1268,15/10/2016,NULL,NULL,1315
1269,21/10/2016,NULL,NULL,1083
1270,30/10/2016,NULL,NULL,1067
1271,04/11/2016,NULL,NULL,1088
1272,11/11/2016,NULL,NULL,1089
1273,20/11/2016,NULL,NULL,1068
1274,27/11/2016,NULL,NULL,1069
1275,02/12/2016,NULL,NULL,1070
1276,10/12/2016,NULL,NULL,1084
1277,18/12/2016,NULL,NULL,1085
1278,23/12/2016,NULL,NULL,1071
1279,15/11/2015,NULL,NULL,1108
1280,21/11/2015,NULL,NULL,1109
