ScoresID,DateOfMatch,HomeTeam,HomeScore,AwayTeam,AwayScore,Result,Competition,MatchID
1437,24/08/1997,1,10,2,19,L,1,NULL
1438,30/08/1997,7,20,1,26,W,1,NULL
1439,18/10/1997,1,26,8,33,L,1,NULL
1440,25/10/1997,24,52,1,41,L,1,NULL
1441,02/11/1997,1,22,3,38,W,1,NULL
1442,09/11/1997,1,76,12,0,W,1,NULL
1443,13/12/1997,4,55,1,15,L,1,NULL
1444,27/12/1997,1,11,5,13,L,1,NULL
1445,30/12/1997,1,24,6,24,D,1,NULL
1446,10/01/1998,11,33,1,14,L,1,NULL
1447,01/02/1998,1,41,7,16,W,1,NULL
1448,15/02/1998,27,20,1,28,W,1,NULL
1449,24/02/1998,2,42,1,20,L,1,NULL
1450,10/03/1998,8,23,1,18,L,1,NULL
1451,14/03/1998,1,23,24,13,W,1,NULL
1452,11/04/1998,1,35,4,21,W,1,NULL
1453,15/04/1998,12,15,1,25,W,1,NULL
1454,18/04/1998,1,28,3,28,D,1,NULL
1455,25/04/1998,5,19,1,29,W,1,NULL
1456,02/05/1998,6,31,1,19,L,1,NULL
1457,10/05/1998,1,30,11,19,W,1,NULL
1458,17/05/1998,1,28,27,40,L,1,NULL
1459,05/09/1998,60,25,1,20,L,1,NULL
1460,12/09/1998,1,17,79,9,W,1,NULL
1461,20/09/1998,2,43,1,26,L,1,NULL
1462,26/09/1998,1,44,24,34,W,1,NULL
1463,03/10/1998,11,37,1,7,L,1,NULL
1464,17/10/1998,4,31,1,15,L,1,NULL
1465,24/10/1998,5,27,1,3,L,1,NULL
1466,28/10/1998,1,10,27,39,L,1,NULL
1467,07/11/1998,7,25,1,31,W,1,NULL
1468,13/11/1998,1,42,119,26,W,1,NULL
1469,22/11/1998,3,32,1,19,L,1,NULL
1470,12/12/1998,1,26,6,10,W,1,NULL
1471,20/12/1998,8,30,1,15,L,1,NULL
1472,27/12/1998,1,17,24,15,L,1,NULL
1473,02/01/1999,1,24,11,39,L,1,NULL
1474,05/01/1999,1,30,5,32,L,1,NULL
1475,09/01/1999,1,31,11,47,L,5,NULL
1476,23/01/1999,1,20,8,28,L,1,NULL
1477,06/02/1999,1,7,60,23,L,1,NULL
1478,14/02/1999,27,29,1,24,L,1,NULL
1479,27/02/1999,79,7,1,18,W,1,NULL
1480,13/03/1999,1,32,2,24,W,1,NULL
1481,28/03/1999,119,33,1,33,D,1,NULL
1482,03/04/1999,1,30,7,27,W,1,NULL
1483,24/04/1999,1,17,4,41,L,1,NULL
1484,01/05/1999,6,24,1,34,W,1,NULL
1485,08/05/1999,1,13,3,27,L,1,NULL
1527,11/09/1999,1,16,3,8,W,1,NULL
1528,25/09/1999,4,18,1,3,L,1,NULL
1529,02/10/1999,1,28,5,22,W,1,NULL
1530,10/10/1999,24,3,1,10,W,1,NULL
1531,17/10/1999,1,9,11,13,L,1,NULL
1532,29/10/1999,1,12,2,58,L,1,NULL
1533,05/11/1999,6,35,1,14,L,1,NULL
1534,13/11/1999,1,15,12,40,L,1,NULL
1535,04/12/1999,7,6,1,3,L,1,NULL
1536,26/12/1999,1,22,79,3,W,1,NULL
1537,29/12/1999,8,12,1,6,W,1,NULL
1538,23/01/2000,1,24,7,31,L,1,NULL
1539,12/02/2000,1,13,6,31,L,1,NULL
1540,08/03/2000,12,35,1,16,L,1,NULL
1541,12/03/2000,2,56,1,28,L,1,NULL
1542,25/03/2000,11,26,1,7,L,1,NULL
1543,08/04/2000,1,36,24,20,W,1,NULL
1544,15/04/2000,5,36,1,6,L,1,NULL
1545,22/04/2000,1,13,4,48,L,1,NULL
1546,30/04/2000,3,58,1,5,L,1,NULL
1547,06/05/2000,1,45,8,17,W,1,NULL
1548,14/05/2000,79,37,1,50,W,1,NULL
1027,16/09/2001,3,21,1,40,W,1,NULL
1028,22/09/2001,1,21,6,44,W,1,NULL
1029,13/10/2001,5,20,1,17,W,1,NULL
1030,20/10/2001,1,34,11,14,W,1,NULL
1801,11/11/2001,2,26,1,25,L,1,NULL
1802,17/11/2001,1,3,4,37,L,1,NULL
1803,25/11/2001,9,20,1,47,W,1,NULL
1804,01/12/2001,24,16,1,23,W,1,NULL
1805,08/12/2001,1,19,7,19,D,1,NULL
1806,27/12/2001,4,33,1,10,L,1,NULL
1670,09/02/2002,11,10,1,20,W,1,NULL
1671,23/02/2002,1,20,5,14,W,1,NULL
