DateOfMatch,SinBin1,SinBin2,SinBin3,SinBin4,SinBin5,MatchesID,SinBinsID
24/08/1997,NULL,NULL,NULL,NULL,NULL,NULL,1006
30/08/1997,NULL,NULL,NULL,NULL,NULL,NULL,1007
18/10/1997,NULL,NULL,NULL,NULL,NULL,NULL,1008
25/10/1997,NULL,NULL,NULL,NULL,NULL,NULL,1009
02/11/1997,NULL,NULL,NULL,NULL,NULL,NULL,1010
09/11/1997,NULL,NULL,NULL,NULL,NULL,NULL,1011
13/12/1997,NULL,NULL,NULL,NULL,NULL,NULL,1012
27/12/1997,NULL,NULL,NULL,NULL,NULL,NULL,1013
30/12/1997,NULL,NULL,NULL,NULL,NULL,NULL,1014
10/01/1998,NULL,NULL,NULL,NULL,NULL,NULL,1015
01/02/1998,NULL,NULL,NULL,NULL,NULL,NULL,1016
15/02/1998,NULL,NULL,NULL,NULL,NULL,NULL,1017
24/02/1998,NULL,NULL,NULL,NULL,NULL,NULL,1018
10/03/1998,NULL,NULL,NULL,NULL,NULL,NULL,1019
14/03/1998,Matt Tetlow,NULL,NULL,NULL,NULL,NULL,1020
11/04/1998,NULL,NULL,NULL,NULL,NULL,NULL,1021
15/04/1998,NULL,NULL,NULL,NULL,NULL,NULL,1022
18/04/1998,NULL,NULL,NULL,NULL,NULL,NULL,1023
25/04/1998,NULL,NULL,NULL,NULL,NULL,NULL,1024
02/05/1998,NULL,NULL,NULL,NULL,NULL,NULL,1025
10/05/1998,NULL,NULL,NULL,NULL,NULL,NULL,1026
17/05/1998,NULL,NULL,NULL,NULL,NULL,NULL,1027
05/09/1998,John Devereux,NULL,NULL,NULL,NULL,NULL,1028
12/09/1998,NULL,NULL,NULL,NULL,NULL,NULL,1029
20/09/1998,Phil Winstanley,Chris Murphy,Damien Geraghty,NULL,NULL,NULL,1030
26/09/1998,NULL,NULL,NULL,NULL,NULL,NULL,1031
03/10/1998,Tom Beim,Pat Sanderson,NULL,NULL,NULL,NULL,1032
17/10/1998,Pete Anglesea,NULL,NULL,NULL,NULL,NULL,1033
24/10/1998,NULL,NULL,NULL,NULL,NULL,NULL,1034
28/10/1998,Tom Beim,Damien Geraghty,NULL,NULL,NULL,NULL,1035
07/11/1998,NULL,NULL,NULL,NULL,NULL,NULL,1036
13/11/1998,Pat Sanderson,NULL,NULL,NULL,NULL,NULL,1037
22/11/1998,NULL,NULL,NULL,NULL,NULL,NULL,1038
12/12/1998,NULL,NULL,NULL,NULL,NULL,NULL,1039
20/12/1998,Kevin Ellis,Pete Anglesea,NULL,NULL,NULL,NULL,1040
27/12/1998,NULL,NULL,NULL,NULL,NULL,NULL,1041
02/01/1999,Dion O'Cuinneagain,NULL,NULL,NULL,NULL,NULL,1042
05/01/1999,NULL,NULL,NULL,NULL,NULL,NULL,1043
09/01/1999,NULL,NULL,NULL,NULL,NULL,NULL,1044
23/01/1999,Jos Baxendell,NULL,NULL,NULL,NULL,NULL,1045
06/02/1999,Pat Sanderson,NULL,NULL,NULL,NULL,NULL,1046
14/02/1999,Chris Murphy,NULL,NULL,NULL,NULL,NULL,1047
27/02/1999,NULL,NULL,NULL,NULL,NULL,NULL,1048
13/03/1999,NULL,NULL,NULL,NULL,NULL,NULL,1049
28/03/1999,NULL,NULL,NULL,NULL,NULL,NULL,1050
03/04/1999,NULL,NULL,NULL,NULL,NULL,NULL,1051
24/04/1999,NULL,NULL,NULL,NULL,NULL,NULL,1052
01/05/1999,NULL,NULL,NULL,NULL,NULL,NULL,1053
08/05/1999,NULL,NULL,NULL,NULL,NULL,NULL,1054
11/09/1999,NULL,NULL,NULL,NULL,NULL,NULL,1055
