TeamID,Team
1,Sale Sharks
2,Saracens
3,Wasps
4,Leicester Tigers
5,Bath Rugby
6,Gloucester Rugby
7,London Irish
8,Newcastle Falcons
9,Leeds Tykes
10,Worcester Warriors
11,Northampton Saints
12,Bristol Bears
13,Exeter Chiefs
14,Rotherham Titans
15,Doncaster Knights
16,Glasgow Warriors
17,Leincster
18,Ospreys
19,Ulster
20,Connacht
21,Newport Dragons
22,Toulouse
23,Cardiff Blues
24,Harlequins
25,Edinburgh
26,Munster
27,Richmond
28,RC Narbonne
29,Bridgend RFC
30,Racing Narbonne
31,Perpignan
32,Montauban
33,Grenoble
34,Pampas XV
35,North Harbour
36,Dax
37,Bennetton Treviso
38,Lllanelli Scarlets
39,Auckland
40,Biarritz 
41,Wigan Warriors
42,Warrington Wolves
43,Western Province
44,Western Force
45,Warratahs
46,Honda Heat
47,AS Beziers
48,Hurricaines
49,Bordeaux Begles
50,Lille
51,Toulon
52,Taranaki
53,Clermont
54,Sheffield
55,Section Paloise
56,Neath RFC
57,Monino
58,Melbourne Rebels
59,London Welsh
60,London Scottish
61,Stade Montois
62,Liceo Naval
64,Huddersfield Giants
65,Highlanders
66,Harrogate RUFC
67,Ebbw Vale
68,Cornish Pirates
69,Clontarf RFC
70,Chiefs
71,Celtic Warriors
72,Castres
73,Castleford Tigers
74,Cardiff RFC
75,Brive
76,Bourgoin
77,Racing Metro
78,Belmont Shore
79,Bedford Blues
80,Bayonne
81,Aurillac
82,Wakefied
83,Plymouth Albion
84,Stade Francais
85,Salford City Reds
86,Pontyprid
87,Pontypool RFC
88,NYAC
89,Nottingham RFC
90,Nice
91,Neath
92,Lyon OU
93,Jersey
94,Griquas
95,Coventry RFC
96,Counties Manukau
97,Cordoba Athletic
98,Calvisano
99,Pau
100,Sale Jets
101,Retired
102,Cetransa El Salvador
103,Petrarca Padova
104,Golden Lions
105,Natal Sharks
106,Cinderford
107,USA Perpignan
108,La Rochelle
109,Zebre
112,Bulls
113,Montpellier
114,ASM Clermont
115,Armia Tbilisi
116,La Vila
117,Agen
118,Oyonnax
119,West Hartlepool
120,San Diego Breakers
121,Intercargill
122,Treorchy RFC
122,Treorchy RFC
123,Stormers
