DateOfMatch,Try1,Try2,Try3,Try4,Try5,Try6,Try7,Try8,Try9,Try10,Try11,Try12,Try13,Try14,Try15,MatchID,TryID
06/12/2014,Magnus Lund,Andrei Ostrikov,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1150,2000
13/12/2009,Dwayne Peel,Nick Macleod,David Seymour,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,2001
20/12/2009,Sisa Koyamaibole,Eifion Lewis-Roberts,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1001,2002
27/12/2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1002,2003
01/01/2010,James Gaskell,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1003,2004
16/01/2010,Sisa Koyamaibole,Mathew Tait,Mathew Tait,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1004,2005
24/01/2010,Mathew Tait,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1005,2006
29/01/2010,Charlie Hodgson,Sisa Koyamaibole,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1006,2007
06/02/2010,Kristian Ormsby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1007,2008
16/09/2007,Ben Foden,Lee Thomas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2009
08/10/2010,Sisa Koyamaibole,Nick Macleod,Nick Macleod,Andy Tuilagi,Tom Brady,Tom Brady,Tom Brady,Tommy Bell,Fergus Mulchrone,Fergus Mulchrone,Chris Brightwell,Ben Cohen,Chris Jones,Rob Miller,Chris Leck,1008,2010
16/10/2010,Tom Brady,Tom Brady,Nick Macleod,Mark Cueto,Mark Cueto,Nick Macleod,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1009,2011
31/10/2010,Andy Tuilagi,Ben Cohen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1010,2012
05/11/2010,Tom Brady,Fergus Mulchrone,Fergus Mulchrone,Tom Brady,Tom Brady,Chris Leck,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1011,2013
